window,feature_set,model,n_features,mean_composite,mean_mae_all,mean_mae_peak,mean_pinball_p90
all_history,no_weather,ridge_direct,71,131.4408381465882,127.68442996073261,206.2965890317363,28.548232283505023
all_history,no_weather,ridge_resid,71,133.49575876144095,128.42493656061643,211.74298985565352,28.801967622183387
from_2025_10_01,all,hgb_resid,80,147.2360482705344,151.93391718292688,197.80068181143338,59.644425678204726
from_2025_10_01,no_weather,hgb_resid,71,147.70012740414333,161.10704363390425,183.53709350636572,60.42738767640745
from_2025_09_24,no_weather,hgb_resid,71,148.48026032402714,148.59564921404225,206.07862010142486,61.79424843289284
all_history,all,ridge_direct,80,152.9739809344543,140.84493909787156,251.5448133149737,35.44033695513202
all_history,core,xgb_resid,42,153.0812386286662,150.7314283571073,226.30770443467532,49.11606559854976
all_history,no_weather,hgb_resid,71,154.1044911051992,144.45773535120452,239.958800383752,49.439916572356665
from_2025_10_01,all,xgb_resid,80,154.2700250466822,150.48672779365666,218.72270225076116,67.0492523731278
all_history,core,ridge_direct,42,154.32026931192513,144.9185809974513,250.60258737009025,33.40101301086203
all_history,all,ridge_resid,80,154.87434516664288,141.87620428010177,255.85169371212845,35.90367456476743
all_history,core,ridge_resid,42,155.11006443903085,144.7358267751893,253.46923189587665,33.50690741336607
from_2025_09_24,all,hgb_resid,80,155.4395114603782,151.5176242347596,222.7000259231448,64.3534578302749
from_2025_09_24,all,xgb_resid,80,156.01134055190832,145.50232863844195,230.806526408476,70.09109155072277
from_2025_09_24,core,hgb_resid,42,156.20973228978033,165.97083890959635,195.8547813042131,72.3393922185912
from_2025_11_01,no_weather,rf_resid,71,156.36445546562896,160.31392542158957,199.801253120534,81.33558409336992
all_history,no_weather,xgb_resid,71,156.5614900237471,149.03079960442017,240.75670962123309,49.09538667583549
from_2025_09_24,no_weather,xgb_resid,71,157.33933827711795,164.4217115170544,203.62596898920395,70.20345910914773
from_2025_09_24,core,xgb_resid,42,157.49727079287868,159.2802560945884,207.81805565777944,77.55863024125318
from_2025_11_01,no_weather,xgb_resid,71,159.3397545903996,148.80011089496492,229.0739893124384,81.08751174592813
from_2025_10_01,no_weather,xgb_resid,71,159.46537473073988,161.9875793007779,217.1007752558764,66.7067625179399
all_history,core,hgb_resid,42,159.64076486571687,152.0563732996075,242.38801069588962,54.48087503573114
all_history,no_weather,xgb_direct,71,159.96812200779206,159.52108773731052,228.74846604291133,57.91519163131713
all_history,all,xgb_resid,80,160.82003454458967,148.90402611351703,254.97313387253706,49.3804066303501
from_2025_10_01,core,hgb_resid,42,161.588606920053,162.96002223507608,215.29718087721764,77.59720769674834
from_2025_10_01,core,rf_resid,42,163.3435697639313,172.12159866109954,208.89001336127433,73.07883212499621
from_2025_11_01,no_weather,hgb_resid,71,165.33142726806884,153.96883546769598,238.4738541559407,84.02426643719325
from_2025_11_01,all,rf_resid,80,165.5274945057041,174.83249287093233,198.78878296311686,92.37306590651453
from_2025_10_01,core,xgb_resid,42,166.1409469871067,164.89070085808635,225.01463671291575,80.95602772094398
all_history,all,hgb_resid,80,167.75785543823991,157.23005136127824,257.86167672646917,58.92163369830023
from_2025_11_01,core,hgb_resid,42,167.80873584683155,164.7421897058107,222.79752706843277,92.99191436698189
from_2025_11_01,all,xgb_resid,80,169.51957608585354,153.54431336508563,250.63627101393305,87.78269049565417
all_history,all,xgb_direct,80,170.0914187001995,157.28972916376023,266.80287080652573,57.02846438180832
from_2025_09_24,core,rf_resid,42,170.67259898025455,168.03350022054565,236.888996313735,77.94574987930626
all_history,core,rf_resid,42,170.84916266767442,170.047204275072,233.7260097826955,78.53878797664872
from_2025_11_01,core,xgb_resid,42,172.18673981800242,161.2800980973878,242.74863391764023,93.61050297008228
all_history,core,xgb_direct,42,173.11153349867323,159.37050110953197,268.2679443359375,64.72949821562995
from_2025_10_01,no_weather,rf_resid,71,173.14991984297296,184.8972214703508,220.73647397231915,72.40183458050907
all_history,all,rf_resid,80,176.6871142714478,192.04756710778204,205.85028539143937,94.54122550062482
from_2025_11_01,all,hgb_resid,80,177.44157850504416,160.11676385822028,260.7778803470137,95.74916235914964
all_history,no_weather,rf_resid,71,178.17816247488858,186.13457844216347,223.2873002298343,90.62341592428292
from_2025_09_24,no_weather,rf_resid,71,180.33369063926853,193.1018256431017,224.87425422394998,81.60250775266336
from_2025_11_01,core,rf_resid,42,181.1125390341634,193.057641988515,222.0163082020253,89.89412789649161
from_2025_10_01,all,rf_resid,80,186.91768232829082,205.02453447530206,221.68370508772142,89.5015178216168
from_2025_09_24,all,rf_resid,80,187.2931305120599,206.95889118496788,215.9862384351035,95.0890669452246
from_2025_09_24,all,xgb_direct,80,192.73574089658294,187.49838928949265,257.8036409265855,108.22726986930483
from_2025_09_24,all,ridge_direct,80,200.63535979119789,232.68714266469806,246.64019500137175,51.49864979218661
from_2025_09_24,all,ridge_resid,80,203.96758963884002,241.27179707729772,243.08772758359504,52.02686412556328
from_2025_09_24,no_weather,xgb_direct,71,205.6578802840957,202.1410928453718,276.7429423612707,107.8222557651429
from_2025_09_24,core,xgb_direct,42,205.8442959326242,185.55953298296248,298.7399516386144,117.21271974779312
from_2025_09_24,no_weather,ridge_direct,71,208.46825373402027,237.02931888130905,260.98636899248953,58.288417978094444
from_2025_09_24,no_weather,ridge_resid,71,215.53953016637354,246.76437356138126,265.7651938739023,62.13892611756113
from_2025_10_01,all,xgb_direct,80,215.69168001394377,193.83643268403551,315.63163936839385,120.41985930703937
from_2025_11_01,all,xgb_direct,80,216.57348804640299,190.62076750255767,316.46301628561577,131.62099704719725
from_2025_09_24,core,ridge_direct,42,216.69716756724551,218.26702658984848,305.7902049004754,79.13296401089345
from_2025_10_01,no_weather,ridge_direct,71,220.54169998068596,241.7934908224617,287.7131857814504,66.6549941750999
from_2025_10_01,core,xgb_direct,42,222.01142935165302,195.64998940059118,326.9862913243911,130.45273627020063
from_2025_11_01,core,xgb_direct,42,223.19398561058392,187.6120891571045,340.51376163258277,136.16906271128425
from_2025_10_01,no_weather,xgb_direct,71,223.20259792189506,213.31919688270204,308.321771958295,120.23233946527755
from_2025_10_01,all,ridge_direct,80,223.95638871294466,242.28668611935706,298.0359203983577,67.01134766879417
from_2025_11_01,no_weather,xgb_direct,71,224.38867623118392,203.37464005606515,318.2337332332835,136.1561811658314
from_2025_09_24,core,ridge_resid,42,232.71164904784632,236.1951314446051,321.85982654655527,90.28067680788612
from_2025_10_01,no_weather,ridge_resid,71,233.21699430997634,257.97507649521896,297.7211346355493,74.56557835851038
from_2025_10_01,all,ridge_resid,80,236.07413517863412,258.02917589025435,307.5992565085399,73.89885140472512
from_2025_10_01,core,ridge_direct,42,249.0638250585472,246.20652542494784,356.70309646571775,94.74816703178988
from_2025_11_01,core,ridge_resid,42,249.83300098693996,266.0163545935105,308.64014628349713,121.16389902567765
from_2025_11_01,all,ridge_resid,80,253.8390568080048,291.42178970742924,286.1749632613144,111.37836487947948
from_2025_11_01,all,ridge_direct,80,261.6890776510179,292.4691403858039,302.3483275249372,123.75004600317408
from_2025_11_01,core,ridge_direct,42,262.9714117473917,271.6626709864669,335.9512205742751,131.7735504093786
from_2025_11_01,no_weather,ridge_direct,71,280.3595268380491,324.0589691634631,297.2055706730443,145.84185527202118
from_2025_10_01,core,ridge_resid,42,281.4467682836001,280.0285329368295,390.7060640022888,121.10341307249335
from_2025_11_01,no_weather,ridge_resid,71,282.1585297363189,331.9718370430279,294.2063692828014,139.5535021498226
